TATAMOTORS,467.20,476.85,9.65,2.07,476.85,101476,483.89,8376738.05,536.70,156.70
BAJAJFINSV,16893.45,17140.00,246.55,1.46,17140.00,696,119.29,10215845.72,19325.00,8273.70
TATACONSUM,747.60,758.35,10.75,1.44,758.35,4358,33.05,4478188.40,889.00,551.00
HINDALCO,421.35,427.40,6.05,1.44,427.40,13436,57.43,6154341.66,551.85,224.55
KOTAKBANK,1885.20,1912.00,26.80,1.42,1912.00,7300,139.58,27664133.51,2253.00,1626.00
BAJFINANCE,6951.75,7048.00,96.25,1.38,7048.00,3216,226.66,18462562.75,8050.00,4362.00
AXISBANK,663.10,672.00,8.90,1.34,672.00,15843,106.46,17079410.58,866.90,568.40
MARUTI,7042.85,7129.00,86.15,1.22,7129.00,988,70.43,9361020.02,8368.00,6400.00
HCLTECH,1136.55,1150.00,13.45,1.18,1150.00,3896,44.80,12336864.26,1377.75,850.00
ONGC,143.35,145.00,1.65,1.15,145.00,40602,58.87,5229810.77,172.75,86.60
TATASTEEL,1108.80,1121.10,12.30,1.11,1121.10,12816,143.68,8670047.12,1534.50,585.00
NESTLEIND,19016.50,19226.00,209.50,1.10,19226.00,123,23.65,6783911.01,20609.15,16002.10
BAJAJ-AUTO,3249.75,3284.95,35.20,1.08,3284.95,345,11.33,4231667.13,4361.40,3172.00
ICICIBANK,709.55,717.00,7.45,1.05,717.00,65761,471.51,49196340.17,867.00,488.20
COALINDIA,148.55,150.10,1.55,1.04,150.10,39640,59.50,3112609.20,203.80,123.40
ULTRACEMCO,7214.60,7285.00,70.40,0.98,7285.00,455,33.15,8330253.22,8269.00,4865.45
JSWSTEEL,642.85,648.95,6.10,0.95,648.95,4423,28.70,6371031.66,776.50,344.00
HDFC,2768.80,2795.00,26.20,0.95,2795.00,29828,833.69,49972757.38,3021.10,2221.20
HINDUNILVR,2306.50,2327.90,21.40,0.93,2327.90,2325,54.12,20593462.53,2859.30,2120.00
SBIN,465.30,469.20,3.90,0.84,469.20,37155,174.33,17856273.51,542.30,248.25
INDUSINDBK,915.65,922.90,7.25,0.79,922.90,6919,63.86,5528577.64,1242.00,789.00
TECHM,1551.75,1564.00,12.25,0.79,1564.00,2695,42.15,9630427.36,1638.25,890.00
ADANIPORTS,723.45,729.00,5.55,0.77,729.00,3539,25.80,5317579.12,901.00,427.20
SBILIFE,1148.50,1157.00,8.50,0.74,1157.00,695,8.04,5054371.18,1273.90,825.20
TCS,3536.40,3562.50,26.10,0.74,3562.50,3224,114.86,36627710.77,3989.90,2706.15
IOC,120.95,121.80,0.85,0.70,121.80,11551,14.07,3074334.81,141.50,84.20
BHARTIARTL,697.60,702.35,4.75,0.68,702.35,11447,80.40,16474324.36,781.80,475.40
HDFCBANK,1503.80,1513.95,10.15,0.67,1513.95,43079,652.19,65785039.20,1725.00,1342.00
BPCL,383.45,385.90,2.45,0.64,385.90,8316,32.09,3659919.84,503.00,357.00
HEROMOTOCO,2420.00,2435.00,15.00,0.62,2435.00,911,22.18,3142762.77,3629.05,2408.90
NTPC,124.35,125.10,0.75,0.60,125.10,27604,34.53,5908324.13,152.10,88.15
RELIANCE,2362.60,2376.15,13.55,0.57,2376.15,29873,709.83,76385598.41,2751.35,1830.00
WIPRO,624.50,628.00,3.50,0.56,628.00,8495,53.35,9239618.90,739.85,347.10
HDFCLIFE,684.20,688.00,3.80,0.56,688.00,2940,20.23,6367444.16,775.65,617.40
SUNPHARMA,737.15,741.10,3.95,0.54,741.10,2328,17.25,7959013.98,851.00,539.70
M&M,822.15,826.50,4.35,0.53,826.50,2094,17.31,7870098.78,979.00,660.25
TITAN,2325.30,2336.50,11.20,0.48,2336.50,2603,60.82,9702535.04,2677.90,1396.00
UPL,716.55,720.00,3.45,0.48,720.00,4528,32.60,3941832.75,864.70,416.10
DRREDDY,4498.70,4520.00,21.30,0.47,4520.00,751,33.95,5464546.15,5614.60,4135.00
ITC,217.90,218.90,1.00,0.46,218.90,36588,80.09,19060653.62,265.30,196.90
EICHERMOT,2444.10,2455.10,11.00,0.45,2455.10,502,12.32,3407902.31,3037.00,2303.70
LT,1782.65,1790.20,7.55,0.42,1790.20,3422,61.26,21534486.31,1981.75,1144.00
GRASIM,1660.75,1667.00,6.25,0.38,1667.00,302,5.03,6339093.85,1893.00,863.35
CIPLA,894.95,898.30,3.35,0.37,898.30,1449,13.02,4548062.36,1005.00,738.10
INFY,1695.30,1701.10,5.80,0.34,1701.10,21955,373.48,62849965.97,1848.00,1136.00
POWERGRID,202.00,202.60,0.60,0.30,202.60,15335,31.07,6904303.24,216.45,136.88
BRITANNIA,3496.20,3502.05,5.85,0.17,3502.05,528,18.49,4126406.31,4153.00,3317.30
SHREECEM,25612.35,25650.50,38.15,0.15,25650.50,22,5.64,3419217.16,32048.00,22531.00
DIVISLAB,4646.80,4652.10,5.30,0.11,4652.10,285,13.26,5921181.11,5425.10,3153.30
ASIANPAINT,3038.30,3040.00,1.70,0.06,3040.00,4892,148.72,13697354.03,3505.00,2260.00
